Experiment	Z spectroscopy	
Saved Date	24.08.2024 21:22:54	
User		
Date		
X (m)	355.981E-9	
Y (m)	-268.078E-9	
Z (m)	-70.1566E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	700E-3	
Final Z (m)	N/A	
Start time	24.08.2024 21:17:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
999.99997E-12	3.0601769E-12	600.00002E-3	1.5995945E-3	103.03672E-12	-580.88565E-3	286.56443E-6	-2.3545211E-12	25.689013E-15
997.49997E-12	3.0200627E-12	600.00002E-3	-477.17331E-6	102.96682E-12	-534.07878E-3	292.00001E-6	-2.3529770E-12	13.836043E-15
994.99997E-12	2.9853559E-12	600.00002E-3	-732.67141E-6	103.01848E-12	-560.41139E-3	296.28407E-6	-2.3520723E-12	25.442124E-15
992.49997E-12	2.9613148E-12	600.00002E-3	6.3219517E-3	102.83524E-12	-526.41261E-3	302.98124E-6	-2.3573556E-12	2.6842165E-15
989.99997E-12	2.9353306E-12	600.00002E-3	702.98120E-6	102.80472E-12	-560.84102E-3	304.69144E-6	-2.3400860E-12	10.682433E-15
987.49997E-12	2.9164581E-12	600.00002E-3	149.26928E-6	103.21699E-12	-520.46102E-3	290.38804E-6	-2.3593120E-12	7.0334101E-15
984.99997E-12	2.8969637E-12	600.00002E-3	-1.9055682E-3	103.31350E-12	-555.88520E-3	269.65627E-6	-2.3444636E-12	26.102127E-15
982.49997E-12	2.8815249E-12	600.00002E-3	-4.1971859E-3	102.89797E-12	-573.68350E-3	304.72214E-6	-2.3526482E-12	33.742526E-15
979.99997E-12	2.8620407E-12	600.00002E-3	4.6931631E-3	103.07156E-12	-552.94204E-3	282.05168E-6	-2.3770205E-12	27.876652E-15
977.49997E-12	2.8487948E-12	600.00002E-3	-6.8941070E-3	103.14833E-12	-587.36116E-3	279.94253E-6	-2.3535275E-12	5.0212003E-15
974.99997E-12	2.8368946E-12	600.00002E-3	4.1323146E-3	102.94457E-12	-576.24352E-3	289.60593E-6	-2.3660796E-12	23.092368E-15
972.49997E-12	2.8246320E-12	600.00002E-3	2.5559182E-3	103.12653E-12	-560.24486E-3	288.20688E-6	-2.3650099E-12	15.075237E-15
969.99997E-12	2.8075322E-12	600.00002E-3	4.4049202E-3	102.94763E-12	-538.24592E-3	301.80719E-6	-2.3585617E-12	-761.43323E-18
967.49997E-12	2.8002058E-12	600.00002E-3	-6.1007626E-3	103.02953E-12	-575.08427E-3	281.78221E-6	-2.3531197E-12	35.883497E-15
964.99997E-12	2.7845937E-12	600.00002E-3	2.2881844E-3	103.28691E-12	-567.43985E-3	261.15371E-6	-2.3446141E-12	29.761871E-15
962.49997E-12	2.7714610E-12	600.00002E-3	1.5257696E-3	102.98997E-12	-554.36766E-3	290.19572E-6	-2.3594679E-12	4.3170419E-15
959.99997E-12	2.7696263E-12	600.00002E-3	-5.8576413E-3	102.95412E-12	-577.86459E-3	284.95159E-6	-2.3611731E-12	6.4480849E-15
957.49997E-12	2.7624773E-12	600.00002E-3	5.9890514E-3	102.69847E-12	-522.38429E-3	325.19863E-6	-2.3779503E-12	-3.5330710E-15
954.99997E-12	2.7524808E-12	600.00002E-3	-6.7321258E-3	103.10383E-12	-590.07770E-3	283.67521E-6	-2.3452731E-12	18.471656E-15
952.49997E-12	2.7453680E-12	600.00002E-3	1.6653463E-3	103.18744E-12	-554.97169E-3	274.38349E-6	-2.3565119E-12	14.621654E-15
949.99997E-12	2.7370881E-12	600.00002E-3	-3.2844241E-3	102.98139E-12	-567.37512E-3	284.66410E-6	-2.3570482E-12	12.035079E-15
947.49997E-12	2.7255928E-12	600.00002E-3	-3.5097238E-3	103.07877E-12	-585.88350E-3	285.58480E-6	-2.3538972E-12	21.998260E-15
944.99997E-12	2.7179274E-12	600.00002E-3	3.8937079E-3	102.87908E-12	-544.21157E-3	290.29141E-6	-2.3436726E-12	18.184994E-15
942.49997E-12	2.7129458E-12	600.00002E-3	-1.6968892E-3	102.80213E-12	-558.45237E-3	301.77474E-6	-2.3557720E-12	24.091050E-15
939.99997E-12	2.7089123E-12	600.00002E-3	-939.40017E-6	102.98956E-12	-537.44000E-3	300.34338E-6	-2.3680749E-12	14.415525E-15
937.49997E-12	2.7000856E-12	600.00002E-3	939.01862E-6	103.40200E-12	-580.43647E-3	249.19224E-6	-2.3565709E-12	15.116712E-15
934.99997E-12	2.6957720E-12	600.00002E-3	-5.4675033E-3	102.95462E-12	-568.32886E-3	305.26865E-6	-2.3472140E-12	21.006070E-15
