Experiment	Z spectroscopy	
Saved Date	24.08.2024 21:06:21	
User		
Date		
X (m)	356.028E-9	
Y (m)	-268.336E-9	
Z (m)	-70.1729E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	700E-3	
Final Z (m)	N/A	
Start time	24.08.2024 21:01:19	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
999.99997E-12	3.2233595E-12	600.00002E-3	-3.0220405E-3	102.94748E-12	-608.83552E-3	287.72966E-6	-2.3780873E-12	14.567427E-15
997.49997E-12	3.1787684E-12	600.00002E-3	5.9662843E-3	103.14957E-12	-520.87307E-3	281.14629E-6	-2.3653536E-12	20.982478E-15
994.99997E-12	3.1432862E-12	600.00002E-3	-5.9219869E-3	102.97910E-12	-604.82007E-3	289.47229E-6	-2.3556671E-12	25.989924E-15
992.49997E-12	3.1254561E-12	600.00002E-3	-460.12976E-6	102.87361E-12	-558.31367E-3	313.50341E-6	-2.3624843E-12	20.515360E-15
989.99997E-12	3.1047951E-12	600.00002E-3	-5.5280589E-3	102.94156E-12	-579.46718E-3	303.93360E-6	-2.3424613E-12	22.448396E-15
987.49997E-12	3.0775400E-12	600.00002E-3	-977.57776E-6	102.90275E-12	-555.39584E-3	307.58179E-6	-2.3701807E-12	6.9516701E-15
984.99997E-12	3.0625246E-12	600.00002E-3	-675.40543E-6	103.12325E-12	-540.72660E-3	275.60923E-6	-2.3720173E-12	17.625234E-15
982.49997E-12	3.0494717E-12	600.00002E-3	3.7670424E-3	102.98974E-12	-539.20835E-3	296.53325E-6	-2.3480959E-12	-3.7495455E-15
979.99997E-12	3.0283209E-12	600.00002E-3	-379.33912E-6	102.71822E-12	-539.09194E-3	323.75776E-6	-2.3777313E-12	47.396992E-15
977.49997E-12	3.0130848E-12	600.00002E-3	-1.1200388E-3	102.87392E-12	-565.64134E-3	309.15882E-6	-2.3605655E-12	31.953969E-15
974.99997E-12	3.0051825E-12	600.00002E-3	2.4404167E-3	103.05117E-12	-542.61130E-3	291.56869E-6	-2.3580281E-12	18.717065E-15
972.49997E-12	2.9960901E-12	600.00002E-3	864.67905E-6	103.11633E-12	-580.73074E-3	275.78359E-6	-2.3747265E-12	23.841536E-15
969.99997E-12	2.9828037E-12	600.00002E-3	-501.43385E-6	102.86968E-12	-557.31398E-3	309.62293E-6	-2.3781023E-12	16.500122E-15
967.49997E-12	2.9683502E-12	600.00002E-3	1.3459655E-3	103.28170E-12	-556.09679E-3	274.65503E-6	-2.3597502E-12	15.913127E-15
964.99997E-12	2.9567787E-12	600.00002E-3	2.9528823E-3	102.94107E-12	-553.18815E-3	290.52552E-6	-2.3466572E-12	2.7704633E-15
962.49997E-12	2.9415235E-12	600.00002E-3	-654.73292E-6	103.10597E-12	-577.16846E-3	292.73782E-6	-2.3600880E-12	6.8325375E-15
959.99997E-12	2.9410220E-12	600.00002E-3	3.8768600E-3	102.94523E-12	-517.26407E-3	298.17791E-6	-2.3670517E-12	18.396622E-15
957.49997E-12	2.9288839E-12	600.00002E-3	-2.8739818E-3	103.13484E-12	-561.02967E-3	285.89601E-6	-2.3543040E-12	27.657567E-15
954.99997E-12	2.9174397E-12	600.00002E-3	7.5098518E-3	103.03624E-12	-500.69129E-3	292.93069E-6	-2.3501236E-12	4.0818772E-15
952.49997E-12	2.9122674E-12	600.00002E-3	-8.4653255E-3	103.35260E-12	-577.99697E-3	265.89414E-6	-2.3725633E-12	-6.1917249E-15
949.99997E-12	2.9014718E-12	600.00002E-3	547.97553E-6	103.06414E-12	-566.81532E-3	299.14395E-6	-2.3693699E-12	3.8701431E-15
947.49997E-12	2.8923535E-12	600.00002E-3	-3.7570363E-3	103.07704E-12	-547.22464E-3	291.08216E-6	-2.3778115E-12	23.292293E-15
944.99997E-12	2.8809188E-12	600.00002E-3	2.2079456E-3	102.78790E-12	-516.83718E-3	320.39007E-6	-2.3425775E-12	28.548971E-15
942.49997E-12	2.8743457E-12	600.00002E-3	-2.5796241E-3	102.89473E-12	-567.64972E-3	290.71124E-6	-2.3457015E-12	8.8597529E-15
939.99997E-12	2.8644853E-12	600.00002E-3	1.5636126E-3	103.16636E-12	-547.80197E-3	274.23902E-6	-2.3380763E-12	33.453051E-15
